fars,distance_fars,finger_tops,distance_fingers_top,img,gesture
"[(0.3667953667953668, 0.3017543859649123), (0.5637065637065637, 0.4666666666666667), (0.5405405405405406, 0.5859649122807018), (0.47876447876447875, 0.6596491228070176)]","[0.21778191944785247, 0.30161907620618333, 0.294744695099334, 0.2752617265643782]","[(0.4362934362934363, 0.06666666666666667), (0.8918918918918919, 0.3719298245614035), (0.9111969111969112, 0.6175438596491228), (0.7876447876447876, 0.8140350877192982), (0.5482625482625483, 0.9228070175438596)]","[0.3788770246653821, 0.5289228831709664, 0.543478641985092, 0.5123124969267316, 0.4338887064663843]",img_1340.png,0
"[(0.30569948186528495, 0.4186046511627907), (0.5129533678756477, 0.4883720930232558), (0.5440414507772021, 0.5872093023255814), (0.5129533678756477, 0.7093023255813954)]","[0.22024752012123022, 0.3028550077454348, 0.3002500217509969, 0.26693112538047387]","[(0.7668393782383419, 0.27906976744186046), (0.7823834196891192, 0.28488372093023256), (0.8808290155440415, 0.45930232558139533), (0.5440414507772021, 0.47674418604651164), (0.8393782383419689, 0.6046511627906976)]","[0.5367273514149029, 0.5446419887730316, 0.5653869844687746, 0.32699117197526656, 0.5148142779844616]",img_2539.png,0
"[(0.40789473684210525, 0.37373737373737376), (0.6008771929824561, 0.48484848484848486), (0.6228070175438597, 0.5858585858585859), (0.5657894736842105, 0.702020202020202)]","[0.27477873954274185, 0.36984232949492224, 0.3730162396719464, 0.3298608441668299]","[(0.5043859649122807, 0.09090909090909091), (0.8991228070175439, 0.3181818181818182), (0.9692982456140351, 0.4898989898989899), (0.9166666666666666, 0.6515151515151515), (0.793859649122807, 0.8737373737373737)]","[0.46035292403611033, 0.6182050464796577, 0.6407825467573239, 0.5927764789775644, 0.5217765180091951]",img_2653.png,0
"[(0.33067729083665337, 0.33472803347280333), (0.5537848605577689, 0.46443514644351463), (0.5537848605577689, 0.5774058577405857), (0.5059760956175299, 0.6652719665271967)]","[0.2331553114215969, 0.3261903736125555, 0.314615163208531, 0.28465058746430477]","[(0.42231075697211157, 0.0794979079497908), (0.848605577689243, 0.3723849372384937), (0.9163346613545816, 0.5523012552301255), (0.8167330677290837, 0.7238493723849372), (0.6294820717131474, 0.895397489539749)]","[0.4147189510116456, 0.548909837426466, 0.5776409811280159, 0.5132969916481144, 0.4251563196506967]",img_496.png,0
"[(0.22957198443579765, 0.3359073359073359), (0.48638132295719844, 0.4555984555984556), (0.4980544747081712, 0.5675675675675675), (0.4474708171206226, 0.667953667953668)]","[0.16186400134455525, 0.2639768318353191, 0.26675084427177087, 0.24836277539923554]","[(0.3035019455252918, 0.07722007722007722), (0.8132295719844358, 0.33976833976833976), (0.8949416342412452, 0.5212355212355212), (0.7976653696498055, 0.6988416988416989), (0.5875486381322957, 0.9034749034749034)]","[0.3506601172641473, 0.5074743674376565, 0.5455101387692419, 0.49057824778645853, 0.41947089606405746]",img_1648.png,0
"[(0.39194139194139194, 0.3007518796992481), (0.5787545787545788, 0.45112781954887216), (0.5677655677655677, 0.5601503759398496), (0.5018315018315018, 0.650375939849624)]","[0.24376451292939633, 0.3372871247704427, 0.3309628806971456, 0.30062284061817185]","[(0.48717948717948717, 0.05263157894736842), (0.8681318681318682, 0.3233082706766917), (0.9194139194139194, 0.5526315789473685), (0.8131868131868132, 0.7669172932330827), (0.5970695970695971, 0.9060150375939849)]","[0.4109272488418441, 0.5563228651252893, 0.5811388884607996, 0.5379752337246044, 0.4511440909633687]",img_785.png,0
"[(0.34686346863468637, 0.34220532319391633), (0.5608856088560885, 0.46387832699619774), (0.5682656826568265, 0.5703422053231939), (0.5166051660516605, 0.6806083650190115)]","[0.230501445734121, 0.33087822698674574, 0.3283679920166599, 0.3019233393195842]","[(0.3763837638376384, 0.06463878326996197), (0.8228782287822878, 0.2889733840304182), (0.9188191881918819, 0.5019011406844106), (0.8597785977859779, 0.7072243346007605), (0.6642066420664207, 0.9163498098859315)]","[0.3981585831615428, 0.5464087418295444, 0.5816659867172737, 0.5464087418295444, 0.4659652603674375]",img_966.png,0
"[(0.27547169811320754, 0.391304347826087), (0.5358490566037736, 0.45652173913043476), (0.5622641509433962, 0.5739130434782609), (0.5245283018867924, 0.7086956521739131)]","[0.2513395583748426, 0.3648294226268122, 0.35350026385877475, 0.31084623322578625]","[(0.29056603773584905, 0.08260869565217391), (0.8113207547169812, 0.2608695652173913), (0.9207547169811321, 0.43478260869565216), (0.8679245283018868, 0.6217391304347826), (0.7283018867924528, 0.8739130434782608)]","[0.4425399692293141, 0.6090618566103652, 0.6390665781986713, 0.5740655616177764, 0.4745288873974053]",img_1886.png,0
"[(0.38783269961977185, 0.3515625), (0.5893536121673004, 0.4921875), (0.5779467680608364, 0.6015625), (0.5285171102661597, 0.67578125)]","[0.253625213373231, 0.34629656297489925, 0.33268437130374157, 0.3040989174438353]","[(0.4372623574144487, 0.078125), (0.870722433460076, 0.42578125), (0.9239543726235742, 0.609375), (0.8326996197718631, 0.74609375), (0.6197718631178707, 0.90625)]","[0.42091844763185343, 0.5530469739733735, 0.5806603143433167, 0.5275175338550877, 0.42715098466286155]",img_219.png,0
"[(0.32934131736526945, 0.39622641509433965), (0.5149700598802395, 0.4779874213836478), (0.49700598802395207, 0.6792452830188679), (0.6646706586826348, 0.8427672955974843)]","[0.17954448873264656, 0.25788305000845363, 0.23566679377974942, 0.3880139483948434]","[(0.3652694610778443, 0.14465408805031446), (0.7664670658682635, 0.32075471698113206), (0.8502994011976048, 0.46540880503144655), (0.011976047904191617, 0.5157232704402516), (0.49700598802395207, 0.9748427672955975)]","[0.34394736968963585, 0.46766821602323205, 0.4950003941995037, 0.1357624627955273, 0.34394736968963585]",img_2196.png,0
"[(0.30985915492957744, 0.4215686274509804), (0.6056338028169014, 0.4852941176470588), (0.6431924882629108, 0.6078431372549019), (0.6009389671361502, 0.7549019607843137)]","[0.26689074909957966, 0.38733172672621574, 0.3786720730968895, 0.3323489517315763]","[(0.2347417840375587, 0.07352941176470588), (0.9154929577464789, 0.27941176470588236), (0.9906103286384976, 0.4166666666666667), (0.9906103286384976, 0.6421568627450981), (0.863849765258216, 0.9019607843137255)]","[0.48286141043895414, 0.6524259317977421, 0.6592273316762538, 0.6195266750866143, 0.5307143837174142]",img_150.png,0
"[(0.2677165354330709, 0.3080568720379147), (0.5275590551181102, 0.35545023696682465), (0.5669291338582677, 0.4928909952606635), (0.547244094488189, 0.6398104265402843)]","[0.30705035959721383, 0.4048551152829984, 0.38331680820487035, 0.33800240094618894]","[(0.2637795275590551, 0.009478672985781991), (0.7755905511811023, 0.04739336492890995), (0.905511811023622, 0.22274881516587677), (0.9094488188976378, 0.5260663507109005), (0.7716535433070866, 0.8530805687203792)]","[0.48848362258112205, 0.6777797180932824, 0.6941840303793992, 0.6258242911244559, 0.5067208816406155]",img_1413.png,0
"[(0.3592233009708738, 0.38095238095238093), (0.5388349514563107, 0.48677248677248675), (0.6067961165048543, 0.582010582010582), (0.5048543689320388, 0.6772486772486772)]","[0.22512228111633023, 0.30322127248895187, 0.3407339806728532, 0.2676046853386256]","[(0.41262135922330095, 0.1164021164021164), (0.8203883495145631, 0.3492063492063492), (0.8883495145631068, 0.5291005291005291), (0.8398058252427184, 0.6507936507936508), (0.6990291262135923, 0.8624338624338624)]","[0.3926535994519635, 0.5296099627485321, 0.5506452624875574, 0.5119576579917435, 0.4397208228375427]",img_2054.png,0
"[(0.2572614107883817, 0.42028985507246375), (0.5228215767634855, 0.47342995169082125), (0.5477178423236515, 0.5942028985507246), (0.5103734439834025, 0.7246376811594203)]","[0.23523473586419796, 0.34872487144670467, 0.33349017083772947, 0.29001344362529874]","[(0.2572614107883817, 0.0821256038647343), (0.7966804979253111, 0.2463768115942029), (0.9128630705394191, 0.42995169082125606), (0.8547717842323651, 0.6135265700483091), (0.7012448132780082, 0.8792270531400966)]","[0.4452040856681026, 0.603311644224994, 0.6301406051076927, 0.5578493330026638, 0.44261501904892986]",img_389.png,0
"[(0.3023255813953488, 0.34782608695652173), (0.5426356589147286, 0.4268774703557312), (0.5658914728682171, 0.5375494071146245), (0.5271317829457365, 0.6719367588932806)]","[0.2402710107536788, 0.33541633304185703, 0.32568532896156116, 0.2916433937717051]","[(0.28294573643410853, 0.05928853754940711), (0.8062015503875969, 0.19367588932806323), (0.9224806201550387, 0.38735177865612647), (0.8953488372093024, 0.6442687747035574), (0.7131782945736435, 0.8932806324110671)]","[0.4204275926531815, 0.5796581879315993, 0.5987971676523541, 0.5535094221567677, 0.4600395663694063]",img_1445.png,0
"[(0.337037037037037, 0.34962406015037595), (0.5592592592592592, 0.4473684210526316), (0.5740740740740741, 0.5639097744360902), (0.5296296296296297, 0.6804511278195489)]","[0.2509934596116685, 0.34248224981838665, 0.33248881341876174, 0.3007527079611973]","[(0.32222222222222224, 0.06766917293233082), (0.837037037037037, 0.24060150375939848), (0.9296296296296296, 0.4548872180451128), (0.8851851851851852, 0.6954887218045113), (0.6962962962962963, 0.9060150375939849)]","[0.4184398238367415, 0.5829576458564593, 0.5950478750517547, 0.5536963128273105, 0.46144586104469487]",img_1263.png,0
"[(0.2857142857142857, 0.3905579399141631), (0.5405405405405406, 0.4334763948497854), (0.5791505791505791, 0.5579399141630901), (0.555984555984556, 0.6952789699570815)]","[0.2671180711534179, 0.37736920146288816, 0.36589598449205984, 0.3287468372257151]","[(0.2548262548262548, 0.08583690987124463), (0.7760617760617761, 0.1459227467811159), (0.915057915057915, 0.3218884120171674), (0.915057915057915, 0.6008583690987125), (0.7760617760617761, 0.8884120171673819)]","[0.4511664046226516, 0.6325467174501355, 0.6573996827793187, 0.60167846304551, 0.500448838669086]",img_1401.png,0
"[(0.23921568627450981, 0.4095238095238095), (0.5254901960784314, 0.44761904761904764), (0.5647058823529412, 0.5619047619047619), (0.5372549019607843, 0.7238095238095238)]","[0.25176581420132915, 0.36879420250727674, 0.3593299096420235, 0.31126980079810007]","[(0.25882352941176473, 0.0761904761904762), (0.788235294117647, 0.18571428571428572), (0.9176470588235294, 0.3523809523809524), (0.8941176470588236, 0.5619047619047619), (0.7725490196078432, 0.8714285714285714)]","[0.4607081555409037, 0.630874227521417, 0.6624056266396706, 0.6013196636691959, 0.4934206294083915]",img_1788.png,0
"[(0.2589641434262948, 0.36213991769547327), (0.5139442231075697, 0.46502057613168724), (0.5219123505976095, 0.5720164609053497), (0.46613545816733065, 0.6872427983539094)]","[0.2037944036308394, 0.3025225097512349, 0.2908124769737734, 0.25373893947516446]","[(0.28286852589641437, 0.06584362139917696), (0.8207171314741036, 0.29218106995884774), (0.9203187250996016, 0.51440329218107), (0.8207171314741036, 0.6666666666666666), (0.649402390438247, 0.8847736625514403)]","[0.4011147923075732, 0.5522068496063326, 0.5797766171984358, 0.504952936669069, 0.42373265747914496]",img_1545.png,0
"[(0.296875, 0.40588235294117647), (0.515625, 0.4764705882352941), (0.546875, 0.5764705882352941), (0.5208333333333334, 0.6941176470588235)]","[0.21475441195450715, 0.3034832152168795, 0.3016992606724026, 0.2729909443816271]","[(0.3645833333333333, 0.12352941176470589), (0.7708333333333334, 0.24705882352941178), (0.8802083333333334, 0.4176470588235294), (0.8645833333333334, 0.6058823529411764), (0.7708333333333334, 0.8294117647058824)]","[0.405545165889752, 0.5452154611095559, 0.5709366121100892, 0.5331308031403749, 0.4695586991378326]",img_2743.png,0
"[(0.39543726235741444, 0.18604651162790697), (0.5513307984790875, 0.31627906976744186), (0.5513307984790875, 0.46511627906976744), (0.5019011406844106, 0.586046511627907)]","[0.28419494067131107, 0.35302294139422685, 0.33858825897628503, 0.30846760113412686]","[(0.3726235741444867, 0.009302325581395349), (0.844106463878327, 0.11627906976744186), (0.9201520912547528, 0.39069767441860465), (0.8403041825095057, 0.6697674418604651), (0.6311787072243346, 0.8930232558139535)]","[0.35599301380302684, 0.6089683939332228, 0.6263311906264061, 0.5756993228965581, 0.4800832437884372]",img_1461.png,0
"[(0.33579335793357934, 0.336996336996337), (0.5535055350553506, 0.45054945054945056), (0.5645756457564576, 0.5641025641025641), (0.5202952029520295, 0.6703296703296703)]","[0.23555088574292937, 0.32569242523570724, 0.3200197669099266, 0.2952279786370909]","[(0.34686346863468637, 0.06593406593406594), (0.8413284132841329, 0.27106227106227104), (0.922509225092251, 0.48717948717948717), (0.8597785977859779, 0.7216117216117216), (0.6568265682656826, 0.9120879120879121)]","[0.40254142969656326, 0.5601544984262681, 0.5759008797897165, 0.5368932630300032, 0.450300823811583]",img_1266.png,0
"[(0.39416058394160586, 0.3563218390804598), (0.5875912408759124, 0.5057471264367817), (0.5802919708029197, 0.6168582375478927), (0.5182481751824818, 0.7126436781609196)]","[0.24342151641045193, 0.3471890476116073, 0.3445744297998309, 0.31799282517017696]","[(0.46715328467153283, 0.09195402298850575), (0.8759124087591241, 0.36015325670498083), (0.9306569343065694, 0.5900383141762452), (0.8357664233576643, 0.8084291187739464), (0.635036496350365, 0.9616858237547893)]","[0.4053456773224343, 0.5692601059574347, 0.5954322383022065, 0.556594100717716, 0.47726001114247696]",img_671.png,0
"[(0.2537878787878788, 0.3938053097345133), (0.5227272727272727, 0.45132743362831856), (0.5568181818181818, 0.5707964601769911), (0.5265151515151515, 0.7035398230088495)]","[0.251020505155545, 0.36420686422644094, 0.3548799619137899, 0.3147159616570318]","[(0.29545454545454547, 0.084070796460177), (0.7954545454545454, 0.23008849557522124), (0.9204545454545454, 0.41150442477876104), (0.8787878787878788, 0.5973451327433629), (0.7386363636363636, 0.8761061946902655)]","[0.4504475449588415, 0.6161904387238973, 0.6497950679342385, 0.5889624432116147, 0.4825731299547395]",img_1750.png,0
"[(0.33519553072625696, 0.3657142857142857), (0.5195530726256983, 0.4742857142857143), (0.5307262569832403, 0.56), (0.48044692737430167, 0.6571428571428571)]","[0.18113216077969113, 0.25870107053549596, 0.2596554062789637, 0.2337837392839427]","[(0.39664804469273746, 0.12571428571428572), (0.7932960893854749, 0.33714285714285713), (0.8603351955307262, 0.5085714285714286), (0.7988826815642458, 0.6742857142857143), (0.664804469273743, 0.84)]","[0.34495789129311294, 0.47375508130522664, 0.4966456275137268, 0.45841668012350223, 0.4058503643457225]",img_2171.png,0
"[(0.39903846153846156, 0.31862745098039214), (0.5576923076923077, 0.47549019607843135), (0.5480769230769231, 0.5686274509803921), (0.4807692307692308, 0.6421568627450981)]","[0.21250381157528564, 0.295186006631139, 0.29560478111221344, 0.26711006178799834]","[(0.5240384615384616, 0.11274509803921569), (0.8557692307692307, 0.4264705882352941), (0.8894230769230769, 0.6029411764705882), (0.7884615384615384, 0.7647058823529411), (0.625, 0.8823529411764706)]","[0.3715399595798031, 0.5091527956068488, 0.5394542045728175, 0.502550047680953, 0.44606616500545826]",img_2903.png,0
"[(0.28294573643410853, 0.39545454545454545), (0.5348837209302325, 0.4409090909090909), (0.5813953488372093, 0.5636363636363636), (0.5697674418604651, 0.6909090909090909)]","[0.2572831802551645, 0.36319534558076205, 0.3583127364724875, 0.32996600078111044]","[(0.23255813953488372, 0.07727272727272727), (0.7325581395348837, 0.1409090909090909), (0.8914728682170543, 0.3181818181818182), (0.9108527131782945, 0.5863636363636363), (0.8062015503875969, 0.8727272727272727)]","[0.44510997589812307, 0.6017874630843056, 0.6383856767067605, 0.5969693707638148, 0.5130427193158594]",img_1025.png,0
"[(0.4222222222222222, 0.33210332103321033), (0.5925925925925926, 0.4981549815498155), (0.5740740740740741, 0.5940959409594095), (0.5148148148148148, 0.6752767527675276)]","[0.24910579379727854, 0.33982892612565163, 0.333752182619547, 0.31133766280670927]","[(0.5037037037037037, 0.07749077490774908), (0.8777777777777778, 0.4022140221402214), (0.9148148148148149, 0.6273062730627307), (0.825925925925926, 0.7675276752767528), (0.6259259259259259, 0.9114391143911439)]","[0.40692242219930486, 0.5453638924323416, 0.5745839469836023, 0.5393983574411358, 0.46663139220593014]",img_559.png,0
"[(0.3412322274881517, 0.3712871287128713), (0.5308056872037915, 0.48514851485148514), (0.5497630331753555, 0.5742574257425742), (0.4928909952606635, 0.6732673267326733)]","[0.2107289262058651, 0.2906492726758535, 0.29473353760520077, 0.25918803096223686]","[(0.3933649289099526, 0.10396039603960396), (0.8199052132701422, 0.3465346534653465), (0.8909952606635071, 0.5148514851485149), (0.8388625592417062, 0.6633663366336634), (0.6919431279620853, 0.8663366336633663)]","[0.3844318794132074, 0.518613400676521, 0.5436687776747361, 0.5055218096475164, 0.43949468893237564]",img_2078.png,0
"[(0.41697416974169743, 0.3382352941176471), (0.5867158671586716, 0.49264705882352944), (0.5756457564575646, 0.5882352941176471), (0.5239852398523985, 0.6727941176470589)]","[0.25102807097986973, 0.3364670962129631, 0.331869489375919, 0.3115328853920322]","[(0.4797047970479705, 0.07352941176470588), (0.8708487084870848, 0.39338235294117646), (0.915129151291513, 0.6029411764705882), (0.8339483394833949, 0.7426470588235294), (0.6420664206642066, 0.9117647058823529)]","[0.40883079004513173, 0.5437732372592797, 0.570919247809248, 0.5346212756971184, 0.46724126225226914]",img_521.png,0
"[(0.40096618357487923, 0.37158469945355194), (0.5652173913043478, 0.46994535519125685), (0.5797101449275363, 0.5628415300546448), (0.5362318840579711, 0.6557377049180327)]","[0.23603548713173836, 0.3230959577745558, 0.3259216883646666, 0.2975134270989249]","[(0.45893719806763283, 0.12568306010928962), (0.8164251207729468, 0.3333333333333333), (0.8792270531400966, 0.4972677595628415), (0.8309178743961353, 0.6830601092896175), (0.7053140096618358, 0.8469945355191257)]","[0.3815617284477012, 0.5287956376804042, 0.5528122685695035, 0.5185267836990617, 0.4557641115295006]",img_2165.png,0
"[(0.33497536945812806, 0.3675675675675676), (0.5270935960591133, 0.4594594594594595), (0.5467980295566502, 0.5621621621621622), (0.5024630541871922, 0.6756756756756757)]","[0.2172408184246421, 0.29957858533401716, 0.29715712514986947, 0.2651912103102663]","[(0.39901477832512317, 0.10810810810810811), (0.7980295566502463, 0.2972972972972973), (0.8817733990147784, 0.4702702702702703), (0.8325123152709359, 0.6270270270270271), (0.7142857142857143, 0.8648648648648649)]","[0.3893789698778049, 0.5264310745703549, 0.5513386755710347, 0.5061464353474204, 0.4509654457180719]",img_2386.png,0
"[(0.375, 0.3465346534653465), (0.5432692307692307, 0.47029702970297027), (0.5480769230769231, 0.5693069306930693), (0.49038461538461536, 0.6584158415841584)]","[0.20902349560696262, 0.2892377343213052, 0.29102120796231745, 0.2640179473426162]","[(0.4807692307692308, 0.11386138613861387), (0.8413461538461539, 0.3811881188118812), (0.8894230769230769, 0.5495049504950495), (0.8221153846153846, 0.698019801980198), (0.6730769230769231, 0.8712871287128713)]","[0.3771182895469219, 0.510686577384498, 0.5347624526045291, 0.500237846079478, 0.4478435321415932]",img_2233.png,0
"[(0.34710743801652894, 0.35802469135802467), (0.5619834710743802, 0.551440329218107), (0.5413223140495868, 0.691358024691358), (0.47107438016528924, 0.7818930041152263)]","[0.2068438688474234, 0.3090989476772159, 0.31168754333722165, 0.2960031509494877]","[(0.41735537190082644, 0.07818930041152264), (0.9132231404958677, 0.43621399176954734), (0.9421487603305785, 0.7242798353909465), (0.8140495867768595, 0.9547325102880658), (0.5247933884297521, 0.9917695473251029)]","[0.39161064515765853, 0.5624736358471402, 0.5908058483324684, 0.5660898979182953, 0.4232875741162634]",img_1339.png,0
"[(0.34600760456273766, 0.3231939163498099), (0.5817490494296578, 0.45627376425855515), (0.5817490494296578, 0.5703422053231939), (0.5285171102661597, 0.6577946768060836)]","[0.2338480322689727, 0.3385738877488022, 0.33079847908745247, 0.30128131678027026]","[(0.42585551330798477, 0.08365019011406843), (0.8859315589353612, 0.3916349809885932), (0.9581749049429658, 0.5627376425855514), (0.8517110266159695, 0.7338403041825095), (0.6425855513307985, 0.908745247148289)]","[0.40193729130808686, 0.558463109772522, 0.5968794600691085, 0.536054252428201, 0.4481614062698518]",img_1911.png,0
"[(0.365, 0.35359116022099446), (0.545, 0.49171270718232046), (0.555, 0.585635359116022), (0.49, 0.6795580110497238)]","[0.21273871700516953, 0.2968107902027779, 0.30065234206383934, 0.2638398523382367]","[(0.485, 0.1270718232044199), (0.835, 0.3701657458563536), (0.885, 0.5580110497237569), (0.815, 0.6685082872928176), (0.685, 0.850828729281768)]","[0.384017071495111, 0.524204221756028, 0.5449768493783488, 0.49806872658132767, 0.44103689680548336]",img_2437.png,0
"[(0.35, 0.32706766917293234), (0.5615384615384615, 0.462406015037594), (0.5615384615384615, 0.5714285714285714), (0.5, 0.6691729323308271)]","[0.22081276175168596, 0.3160151328602951, 0.3130161757990044, 0.28573493562908014]","[(0.4115384615384615, 0.06015037593984962), (0.8615384615384616, 0.31203007518796994), (0.9307692307692308, 0.5225563909774437), (0.8461538461538461, 0.7443609022556391), (0.6384615384615384, 0.9022556390977443)]","[0.39698952416636935, 0.5451445957872061, 0.5700071997893816, 0.532529123737319, 0.4506653428066453]",img_722.png,0
"[(0.352059925093633, 0.3799126637554585), (0.5767790262172284, 0.48034934497816595), (0.5880149812734082, 0.5938864628820961), (0.550561797752809, 0.6943231441048034)]","[0.27599624471961426, 0.38009982226892836, 0.3674394086998666, 0.33263214593331675]","[(0.352059925093633, 0.06986899563318777), (0.8277153558052435, 0.3318777292576419), (0.9213483146067416, 0.5109170305676856), (0.8651685393258427, 0.6768558951965066), (0.704119850187266, 0.8864628820960698)]","[0.4479900242507351, 0.5931871622482011, 0.6261173637622249, 0.5716008676756748, 0.46551662722079573]",img_228.png,0
"[(0.288, 0.3333333333333333), (0.54, 0.4388185654008439), (0.56, 0.5569620253164557), (0.52, 0.6540084388185654)]","[0.2126061109193623, 0.3212916234646714, 0.3199643737173028, 0.29398174589404175]","[(0.312, 0.08860759493670886), (0.812, 0.34177215189873417), (0.912, 0.510548523206751), (0.844, 0.6919831223628692), (0.668, 0.8945147679324894)]","[0.36979740410379913, 0.5296729861557845, 0.5771434604871616, 0.530412259208506, 0.4506318239730613]",img_328.png,0
"[(0.17872340425531916, 0.413953488372093), (0.46808510638297873, 0.4511627906976744), (0.5191489361702127, 0.5674418604651162), (0.5106382978723404, 0.7162790697674418)]","[0.19154118005529225, 0.2731630253943285, 0.2690728472764374, 0.24834593275592826]","[(0.14893617021276595, 0.08837209302325581), (0.6808510638297872, 0.12558139534883722), (0.851063829787234, 0.3023255813953488), (0.8765957446808511, 0.586046511627907), (0.7787234042553192, 0.8790697674418605)]","[0.4117184413088035, 0.5373208092428048, 0.5660512318181794, 0.5234849292654594, 0.46233171648398524]",img_651.png,0
"[(0.4064748201438849, 0.33093525179856115), (0.5899280575539568, 0.48201438848920863), (0.579136690647482, 0.5827338129496403), (0.5179856115107914, 0.6726618705035972)]","[0.25325886926736596, 0.34243584109100306, 0.3353822267669499, 0.30729616020393585]","[(0.4676258992805755, 0.07194244604316546), (0.8741007194244604, 0.3597122302158273), (0.9280575539568345, 0.5827338129496403), (0.8237410071942446, 0.7805755395683454), (0.6187050359712231, 0.9172661870503597)]","[0.411151236491092, 0.5548087441737612, 0.5811829883602229, 0.5365683989070332, 0.45377950908483755]",img_979.png,0
"[(0.31620553359683795, 0.37083333333333335), (0.541501976284585, 0.4875), (0.5454545454545454, 0.6), (0.48221343873517786, 0.7125)]","[0.22617637647384808, 0.3210933225820402, 0.3101773435607235, 0.2706039322905448]","[(0.3359683794466403, 0.07083333333333333), (0.8300395256916996, 0.39166666666666666), (0.9051383399209486, 0.5541666666666667), (0.8458498023715415, 0.6958333333333333), (0.6640316205533597, 0.8916666666666667)]","[0.4127139298222424, 0.5405693427623003, 0.5727289808224628, 0.5298838704680399, 0.43621321536852065]",img_167.png,0
"[(0.3054545454545455, 0.32196969696969696), (0.5454545454545454, 0.45075757575757575), (0.5454545454545454, 0.5681818181818182), (0.49818181818181817, 0.6590909090909091)]","[0.2257347096119588, 0.32647317364231454, 0.3148309120396665, 0.2865567424090787]","[(0.3709090909090909, 0.07196969696969698), (0.8472727272727273, 0.3446969696969697), (0.9236363636363636, 0.5303030303030303), (0.8218181818181818, 0.7083333333333334), (0.6145454545454545, 0.8977272727272727)]","[0.3967321319928222, 0.5560374211297071, 0.5884453392045078, 0.5222856720900477, 0.4274008250331562]",img_1621.png,0
"[(0.4444444444444444, 0.2949640287769784), (0.6037037037037037, 0.48201438848920863), (0.5592592592592592, 0.5971223021582733), (0.48148148148148145, 0.6546762589928058)]","[0.25012647948513184, 0.3456685737873359, 0.3358991872514203, 0.30636285774756555]","[(0.5851851851851851, 0.07913669064748201), (0.9185185185185185, 0.43884892086330934), (0.9148148148148149, 0.6654676258992805), (0.7592592592592593, 0.8381294964028777), (0.5148148148148148, 0.9172661870503597)]","[0.4128650772891287, 0.5626233536626557, 0.5860307642753431, 0.5403472745522743, 0.45175545545171825]",img_904.png,0
"[(0.2425531914893617, 0.455026455026455), (0.5276595744680851, 0.47619047619047616), (0.5659574468085107, 0.582010582010582), (0.548936170212766, 0.7301587301587301)]","[0.25188140391441166, 0.37080881237480595, 0.36035715331481105, 0.31614778274608013]","[(0.18723404255319148, 0.10052910052910052), (0.7574468085106383, 0.17989417989417988), (0.9063829787234042, 0.3492063492063492), (0.8936170212765957, 0.544973544973545), (0.7829787234042553, 0.8412698412698413)]","[0.4649905549752771, 0.6273111119629047, 0.6630079416647522, 0.6061211451235786, 0.4907608546289393]",img_271.png,0
"[(0.31636363636363635, 0.46153846153846156), (0.5563636363636364, 0.6105769230769231), (0.5672727272727273, 0.7451923076923077), (0.5236363636363637, 0.8701923076923077)]","[0.22972138188962146, 0.36345289568944117, 0.365610315925721, 0.34188029155687694]","[(0.39636363636363636, 0.14423076923076922), (0.8545454545454545, 0.46634615384615385), (0.9381818181818182, 0.6923076923076923), (0.8436363636363636, 0.9086538461538461), (0.5490909090909091, 0.9903846153846154)]","[0.41909763361540386, 0.6148235990399152, 0.6615590212786744, 0.5961180061336432, 0.38547682743985867]",img_1667.png,0
"[(0.30039525691699603, 0.37815126050420167), (0.541501976284585, 0.48739495798319327), (0.5533596837944664, 0.592436974789916), (0.5059288537549407, 0.6974789915966386)]","[0.2269063558534787, 0.32689473725602874, 0.31888604981200636, 0.2842422928634546]","[(0.31225296442687744, 0.08403361344537816), (0.8221343873517787, 0.3697478991596639), (0.9090909090909091, 0.542016806722689), (0.849802371541502, 0.6764705882352942), (0.6837944664031621, 0.8823529411764706)]","[0.41075969795066186, 0.5465417318951118, 0.58026666827759, 0.5329829714007795, 0.44212887360107594]",img_124.png,0
"[(0.15789473684210525, 0.3925619834710744), (0.43859649122807015, 0.48760330578512395), (0.4473684210526316, 0.6033057851239669), (0.39473684210526316, 0.7148760330578512)]","[0.132881481591469, 0.2140495306642723, 0.2115842235003792, 0.20220587630625367]","[(0.17543859649122806, 0.09504132231404959), (0.7675438596491229, 0.30165289256198347), (0.8903508771929824, 0.5206611570247934), (0.7894736842105263, 0.6776859504132231), (0.6052631578947368, 0.9049586776859504)]","[0.3497139051636001, 0.4736899501062259, 0.5157889898138996, 0.4514352967101963, 0.39941521098295035]",img_1546.png,0
"[(0.3229571984435798, 0.41262135922330095), (0.5642023346303502, 0.470873786407767), (0.5914396887159533, 0.5970873786407767), (0.5603112840466926, 0.7233009708737864)]","[0.2813100857347339, 0.39957806017037084, 0.3879552641712734, 0.34802691830101407]","[(0.35797665369649806, 0.09223300970873786), (0.8171206225680934, 0.2621359223300971), (0.9299610894941635, 0.441747572815534), (0.8832684824902723, 0.6359223300970874), (0.754863813229572, 0.8737864077669902)]","[0.47042797983794243, 0.6357626351245339, 0.6691883604140174, 0.6050059258768717, 0.5012497631600257]",img_489.png,0
